first_name_left,last_name_left,country_left,first_name_right,last_name_right,country_right,label
João,Rocha,Brazil,João,Rocha,Brazil,1
Tobias,Schneider,Germany,Jesú,Muñoz,Spain,0
Alessandro,Colombo,Italy,Nina,Gro,Germany,0
Elena,Hugentobler,Switzerland,Elena,Hugentobler,Switzerland,1
Rafaela,Rocha,Brazil,Rafael,Rohca,Brazil,1
Ana,Carvalho,Portugal,Ana,Silva,Portugal,0
Iñigo,Álvarez,Spain,lvaro,Fernndez,Spain,0
Beatriz,Rodrigues,Portugal,Beatriz,Rodrigues,Portugal,1
Giulia,Rossi,Italy,Matteo,Bianchi,Italy,0
René,Ramírez,Mexico,René,Ramírez,Mexico,1
Alessandro,Ferrari,Italy,Alessandro,Ferrari,Italy,1
Ana,Rocha,Brazil,Ana,Rocha,Brazil,1
José,García,Mexico,José,Gacría,Mexico,1
Eléna,Bianchi,Italy,Eléna,Bianchi,Italy,1
Valeria,López,Mexico,Valeri,López,Mexico,1
Günter,Hoffmann,Germany,Lena,Schneider,Germany,0
Andrés,López,Mexico,Andrés,López,Mexico,1
João,Silva,Brazil,Ana,Rocha,Brazil,0
Beatriz,Ferreira,Portugal,Rita,Rodrigues,Portugal,0
Noah,Käser,Switzerland,Iñigo,Álvarez,Spain,0
Matteo,Fischer,Switzerland,Matteo,Fischer,Switzerland,1
Miguel,Carvalho,Brazil,Bruno,Rocha,Brazil,0
Óscar,Martínez,Mexico,Maíra,Gómez,Spain,0
Giuseppe,Russo,Italy,Giuseppe,Russo,Italy,1
Beatriz,Santos,Portugal,Beatriz,Santos,Portugal,1
Hugo,Laurent,France,Hugo,Laurent,France,1
Luis,Fernández,Mexico,Luis,Fernández,Mexico,1
Laura,Fernández,Spain,Laura,Fernández,Spain,1
Óscar,Gómez,Spain,Álvar,Sánchez,Spain,0
Jürgen,Groß,Germany,Jürgen,Groß,Germany,1
Elena,Käser,Switzerland,Hans,Käser,Switzerland,0
Jordi,Fernández,Spain,Jordi,Fernndez,Spain,1
Maxime,Schneider,Switzerland,Sregi,Keller,Switzerland,0
Luís,Rodrigues,Portugal,João,Santos,Portugal,0
Sergio,Keller,Switzerland,Giulia,Meier,Switzerland,0
José,Ramírez,Mexico,José,Ramírze,Mexico,1
Eléna,Greco,Italy,José,Hernández,Mexico,0
Camila,Santos,Brazil,iMguel,Fernandes,Brazil,0
Óscar,Díaz,Spain,Laura,López,Spain,0
Noah,Meier,Switzerland,Léa,Grüter,Switzerland,0
Francesco,Ricci,Italy,Francesco,Ricci,Italy,1
Emma,Petit,France,Emma,Petit,France,1
Léa,Lefèvre,France,Léa,Lefèvre,France,1
Luís,Gonçalves,Portugal,Luís,Gonçalves,Portugal,1
Elena,Meier,Switzerland,Lukas,Müller,Switzerland,0
Lukas,Hugentobler,Switzerland,Sergio,Ksäer,Switzerland,0
Giuseppe,Ricci,Italy,Chiara,Esposito,Italy,0
Emma,Durand,France,Emma,Duarnd,France,1
Théo,Dubois,France,Camila,Gonalves,Brazil,0
Mélanie,Hugentobler,Switzerland,Mlanie,Hugentobler,Switzerland,1
René,Richard,France,René,Richard,France,1
Jürgen,Müller,Germany,Jeurgen,Mueller,Germany,1
Giorgia,Russo,Italy,Giorgia,Rusos,Italy,1
Jonas,Schneider,Germany,Sven,Wei,Germany,0
Léa,Bernard,France,Andrs,Hernndez,Mexico,0
Jesús,Sánchez,Spain,Laura,Sánchez,Spain,0
Chiara,Ferrari,Italy,Chiaar,Ferrari,Italy,1
Jesús,Hernández,Mexico,Jesús,Hernnádez,Mexico,1
Mariana,Rocha,Brazil,Mariana,Rocha,Brazil,1
Jonas,Schneider,Germany,Sabin,Groß,Germany,0
Lena,Groß,Germany,Nina,Groß,Germany,0
Miguel,Rodrigues,Portugal,Inês,Almedia,Portugal,0
Noémie,Richard,France,Noémie,Richard,France,1
Nina,Schäfer,Germany,Käthe,Weiß,Germany,0
Maxime,Schneider,Switzerland,Maxime,Schneider,Switzerland,1
Luis,López,Mexico,René,Hernández,Mexico,0
Bruno,Oliveira,Brazil,Léa,Hugentobler,Switzerland,0
Lea,Schäfer,Germany,Sabine,rGo,Germany,0
Luísa,Lima,Brazil,Rafaela,Rocha,Brazil,0
Ana,Martínez,Spain,Marco,Marino,Italy,0
Gonçalo,Santos,Portugal,Goçnalo,Santos,Portugal,1
René,Muñoz,Mexico,René,Muñoz,Mexico,1
Bruno,Carvalho,Brazil,Bruno,Carvalho,Brazil,1
Miguel,Souza,Brazil,Miugel,Souza,Brazil,1
Francesco,Esposito,Italy,rFancesco,Esposito,Italy,1
Alessandro,Colombo,Italy,Alessandro,Colombo,Italy,1
Jesús,Pérez,Mexico,Jesús,Pérez,Mexico,1
João,Silva,Brazil,João,Silva,Brazil,1
Elena,Fischer,Switzerland,Lucí,López,Mexico,0
Matteo,Bianchi,Italy,Giulia,Bianchi,Italy,0
Pedro,Rocha,Brazil,Pedro,Rocha,Brazil,1
Hans,Weiss,Switzerland,Hans,Weiss,Switzerland,1
João,Ferreira,Portugal,Rita,Almeida,Portugal,0
Sergio,Keller,Switzerland,Elena,Fischer,Switzerland,0
René,Torres,Mexico,Sofía,García,Mexico,0
Sara,Greco,Italy,Sara,Greco,Italy,1
Inês,Santos,Portugal,Miguel,Fernandes,Portugal,0
Ana,Carvalho,Brazil,Ana,Carvalho,Brazil,1
Jordi,Sánchez,Spain,Jordi,Sánchez,Spain,1
Giorgia,Colombo,Italy,Gioriga,Colombo,Italy,1
Jonas,Schäfer,Germany,Jonas,Schäfer,Germany,1
Matteo,Ferrari,Italy,Matteo,Ferrari,Italy,1
Pedro,Carvalho,Brazil,Ósca,Ramírez,Mexico,0
Jesús,Martínez,Spain,Jesús,Martínez,Spain,1
Lena,Schmidt,Germany,Lena,Schmidt,Germany,1
Sven,Weiß,Germany,Lena,Krämer,Germany,0
Valeria,Hernández,Mexico,aVleria,Hernández,Mexico,1
Élodie,Garcia,France,Élodie,Garcia,France,1
René,Lefèvre,France,Emma,René,France,0
Théo,Bernard,France,Théo,Bernrad,France,1
Beatriz,Rodrigues,Portugal,Beatriz,Rordigues,Portugal,1
João,Fernandes,Brazil,Joo,Fernandes,Brazil,1
Luca,Ricci,Italy,Luca,Ricci,Italy,1
Ana,Ferreira,Portugal,Ana,Ferreira,Portugal,1
Tiago,Carvalho,Portugal,Tiag,Carvalho,Portugal,0
Rita,Carvalho,Portugal,Rafaela,Souza,Brazil,0
Mariana,Lima,Brazil,Iêns,Gonçalves,Portugal,0
Sergio,Grüter,Switzerland,Segrio,Grueter,Switzerland,0
Lukas,Schäfer,Germany,Lukas,Schäfer,Germany,1
Francesca,Ferrari,Italy,Francesc,Ferrari,Italy,1
Miguel,Hernández,Mexico,Miguel,Hernández,Mexico,1
Mariana,Lima,Brazil,Mariana,Lima,Brazil,1
Noémie,Laurent,France,oNémi,Lauernt,France,1
Laura,Sánchez,Spain,Laura,Snchez,Spain,1
Jonas,Weiß,Germany,Luca,Fernndez,Spain,0
Tobias,Schmidt,Germany,María,García,Spain,0
Tobias,Schmidt,Germany,Luka,Schmidt,Germany,0
Pedro,Oliveira,Brazil,Pedro,Oliveria,Brazil,1
Pedro,Carvalho,Brazil,Pdero,Carvalho,Brazil,1
Lucía,Pérez,Spain,Laura,Sánchez,Spain,0
Sara,Esposito,Italy,Sara,Esposito,Italy,1
Luca,Ferrari,Italy,Luca,Ferrari,Italy,1
Ana,Almeida,Portugal,Inês,Carvalho,Portugal,0
Élodie,Bernard,France,Chloé,Laurent,France,0
Théo,Laurent,France,Hervé,Dubois,France,0
Emma,Laurent,France,Théo,Durand,France,0
Sébastien,René,France,Hervé,René,France,0
Miguel,Gonçalves,Brazil,Rafaela,Rocha,Brazil,0
Mélanie,Schneider,Switzerland,Mlanie,Schneider,Switzerland,1
José,Muñoz,Spain,Joés,Muñoz,Spain,1
Hans,Grüter,Switzerland,Hans,Grueter,Switzerland,1
Jesús,Díaz,Spain,Jesú,Díaz,Spain,1
Sabine,Schäfer,Germany,Gonçalo,Santos,Portugal,0
María,Fernández,Spain,Sergi,Álvarez,Spain,0
Théo,Dubois,France,Marta,oGnalves,Portugal,0
Hugo,Laurent,France,Élodie,Durand,France,0
João,Rodrigues,Portugal,Jürg,Fischer,Switzerland,0
Luísa,Souza,Brazil,Luísa,Souza,Brazil,1
María,García,Mexico,María,García,Mexico,1
Luca,Rossi,Italy,Marco,Rossi,Italy,0
René,Ramírez,Mexico,René,Ramírez,Mexico,1
Miguel,Gonçalves,Portugal,Migule,Gonçalves,Portugal,1
Pedro,Carvalho,Portugal,Pedro,Carvalho,Portugal,1
Matteo,Ferrari,Italy,Eléna,Rossi,Italy,0
Günter,Hoffmann,Germany,Käth,Schmidt,Germany,0
Gustavo,Rocha,Brazil,Gustavo,Rocha,Brazil,1
Óscar,Pérez,Mexico,Jesús,García,Spain,0
Gonçalo,Pereira,Portugal,Gonçalo,Pereira,Portugal,1
Léa,Lefèvre,France,La,Lefvre,France,1
Ana,Rocha,Brazil,Pedro,Rocha,Brazil,0
Ana,Álvarez,Spain,Ana,Álvarez,Spain,1
Luís,Santos,Portugal,Beatriz,Ferreira,Portugal,0
Marta,Gonçalves,Portugal,Marta,Gonçalves,Portugal,1
Hans,Weiss,Switzerland,Hans,Weiss,Switzerland,1
Andrés,Pérez,Mexico,Andrés,Pérez,Mexico,1
Lukas,Wagner,Germany,Lukas,Wagner,Germany,1
Hans,Grüter,Switzerland,Hans,rGueter,Switzerland,1
Ana,Silva,Portugal,Hugo,Dubois,France,0
Ana,Pereira,Portugal,Ana,Pereira,Portugal,1
Gonçalo,Gonçalves,Portugal,Gnoalo,Gonalves,Portugal,1
René,Garcia,France,René,Garcia,France,1
Hannah,Schneider,Germany,Kthe,Krmer,Germany,0
Lea,Fischer,Germany,Luka,Mller,Germany,0
Mélanie,Weiss,Switzerland,Hans,Fischer,Switzerland,0
João,Rodrigues,Portugal,Miguel,Ferreira,Portugal,0
Álvaro,Díaz,Spain,Iñigo,Sánchez,Spain,0
Chloé,Petit,France,Chlo,Petti,France,1
Rita,Silva,Portugal,Rita,Silva,Portugal,1
Iñigo,Álvarez,Spain,Laura,García,Spain,0
Giulia,Marino,Italy,Giulia,Marino,Italy,1
Andrés,Pérez,Mexico,José,Fernández,Mexico,0
Carlos,Fernández,Mexico,Carlo,Fernández,Mexico,1
Jürg,Hugentobler,Switzerland,Jürg,Hugentobler,Switzerland,1
Günter,Schäfer,Germany,Günte,cShäfer,Germany,1
Sergio,Schneider,Switzerland,Lukas,Grueter,Switzerland,0
Tiago,Gonçalves,Portugal,Tiago,Gonalves,Portugal,1
Lukas,Hugentobler,Switzerland,Lukas,Hugentobler,Switzerland,1
Giorgia,Colombo,Italy,Alessandro,Marino,Italy,0
Tiago,Santos,Portugal,Taigo,Santos,Portugal,1
Hannah,Fischer,Germany,Óscar,Matrínez,Mexico,0
Valeria,Fernández,Mexico,Óscar,Torres,Mexico,0
Rita,Rodrigues,Portugal,Beatriz,Rodrigues,Portugal,0
Luca,Colombo,Italy,Mariana,oSuza,Brazil,0
María,Martínez,Mexico,María,Martínez,Mexico,1
Fernanda,Lima,Brazil,Fernanda,Lima,Brazil,1
Fernanda,Silva,Brazil,João,Carvalho,Brazil,0
José,López,Mexico,José,López,Mexico,1
Sabine,Weiß,Germany,Kaethe,Schmidt,Germany,0
René,Muñoz,Mexico,Ren,Muoz,Mexico,1
Sergio,Gómez,Spain,Laura,Martínez,Spain,0
Francesco,Colombo,Italy,Alessandro,Romano,Italy,0
Álvaro,Pérez,Spain,Jesús,Sánchez,Spain,0
Jesús,García,Spain,Jonas,Hoffmann,Germany,0
Noémie,Durand,France,Noémie,Durand,France,1
Jesús,Álvarez,Spain,Jesús,Ávlarez,Spain,1
Chloé,Laurent,France,Théo,Moreau,France,0
Camille,Lefèvre,France,La,Moreau,France,0
René,Ramírez,Mexico,René,Ramírez,Mexico,1
Sabine,Müller,Germany,Sabine,Müller,Germany,1
Jordi,Pérez,Spain,Juerg,Schneider,Switzerland,0
Eléna,Russo,Italy,Jonas,Fischer,Germany,0
Noah,Weiss,Switzerland,Mélanie,Meier,Switzerland,0
María,López,Spain,aMría,López,Spain,1
Lucía,Martínez,Spain,Mara,Fernndez,Spain,0
Tobias,Wagner,Germany,Tobias,Groß,Germany,0
Lukas,Schneider,Switzerland,Lukas,Schenider,Switzerland,1
Hervé,Richard,France,Hervé,Richard,France,1
Hervé,Moreau,France,Herv,Moreau,France,1
Hans,Fischer,Switzerland,Hans,Fischer,Switzerland,1
Sara,Ferrari,Italy,Sara,Ferrari,Italy,1
Jesús,Álvarez,Spain,Maxime,Hugentobler,Switzerland,0
Jürg,Fischer,Switzerland,Juegr,Fischer,Switzerland,1
François,Hugentobler,Switzerland,Serigo,Hugentobler,Switzerland,0
Nina,Schäfer,Germany,Tobias,Müller,Germany,0
Pedro,Ferreira,Portugal,Óscar,Torres,Mexico,0
Jürgen,Fischer,Germany,Juregen,Fischer,Germany,1
José,Hernández,Mexico,Jsoé,Hernández,Mexico,1
Giulia,Schneider,Switzerland,Elena,Grüter,Switzerland,0
Maxime,Schneider,Switzerland,Maxim,Schneider,Switzerland,1
Rogério,Fernandes,Brazil,Rogrio,Fernandes,Brazil,1
Ana,Gonçalves,Brazil,nAa,Gonçalves,Brazil,1
Sofia,Gonçalves,Portugal,Sofia,Gonçalves,Portugal,1
Hannah,Müller,Germany,Hannah,Müller,Germany,1
Noah,Keller,Switzerland,Noah,Keller,Switzerland,1
Inês,Pereira,Portugal,Lsu,Fernandes,Portugal,0
Giulia,Romano,Italy,Guilia,Romano,Italy,1
Sébastien,Garcia,France,Sébastien,Garcia,France,1
Günter,Schmidt,Germany,Günte,Schmidt,Germany,1
Miguel,Hernández,Mexico,Miguel,Hernández,Mexico,1
Jürgen,Weiß,Germany,Francesca,Romano,Italy,0
Miguel,Almeida,Portugal,Miguel,lAmeida,Portugal,1
Sébastien,Moreau,France,Sébastien,Moreau,France,1
Valeria,Pérez,Mexico,Valeria,Prez,Mexico,1
Rogério,Gonçalves,Brazil,Rogério,Gonçalves,Brazil,1
Sergio,Hofmann,Switzerland,Serigo,Hofmann,Switzerland,1
Miguel,Muñoz,Mexico,Miguel,Muñoz,Mexico,1
Andrés,Hernández,Mexico,Andrs,Hernndez,Mexico,1
Marco,Esposito,Italy,Hervé,Dubois,France,0
Rita,Rodrigues,Portugal,Rita,Rodrigues,Portugal,1
João,Silva,Brazil,Bruno,Souza,Brazil,0
Ana,Fernández,Spain,Ana,Fernández,Spain,1
Óscar,López,Mexico,scar,Lpez,Mexico,1
Miguel,Pereira,Portugal,Léa,Schneider,Switzerland,0
Hervé,Durand,France,René,Benrard,France,0
Lucía,López,Spain,Lucía,López,Spain,1
José,García,Spain,José,aGrcía,Spain,1
Alessandro,Bianchi,Italy,Rita,Silva,Portugal,0
Gustavo,Pereira,Brazil,Gustva,Pereira,Brazil,1
Günter,Schneider,Germany,Günter,Schneider,Germany,1
Giulia,Esposito,Italy,Elena,Hugentobler,Switzerland,0
Giuseppe,Russo,Italy,Giusepp,Russo,Italy,1
María,Flores,Mexico,María,Flores,Mexico,1
Pedro,Carvalho,Portugal,Pedro,Carvalho,Portugal,1
Jürgen,Schneider,Germany,Jürgen,Schneider,Germany,1
João,Carvalho,Portugal,Miguel,Gnoçalves,Portugal,0
Rogério,Lima,Brazil,Miguel,Silva,Brazil,0
Sergio,Schneider,Switzerland,Noah,Hofmann,Switzerland,0
Tiago,Gonçalves,Portugal,João,aCrvalho,Portugal,0
Rogério,Pereira,Brazil,Rogério,Pereira,Brazil,1
Jürg,Käser,Switzerland,uJerg,Kaeser,Switzerland,1
Óscar,García,Spain,scar,Garca,Spain,1
Matteo,Meier,Switzerland,Bruno,Gonalves,Brazil,0
Giulia,Meier,Switzerland,Giulai,Grtüer,Switzerland,0
Tobias,Schneider,Germany,Tobais,Schneider,Germany,1
Luca,Ferrari,Italy,Luías,Periera,Brazil,0
Mélanie,Käser,Switzerland,Mlani,Kser,Switzerland,1
Miguel,Fernandes,Portugal,Pedor,oLpes,Portugal,0
Sven,Krämer,Germany,Sven,Krämer,Germany,1
Sergio,Käser,Switzerland,Tobias,Mller,Germany,0
Jonas,Schäfer,Germany,Jonas,Schäfer,Germany,1
Sofía,Muñoz,Mexico,Sofa,Muoz,Mexico,1
María,García,Mexico,Andrés,García,Mexico,0
Elena,Keller,Switzerland,Elena,Keller,Switzerland,1
Giulia,Ferrari,Italy,Giulia,Ferrari,Italy,1
Lena,Hoffmann,Germany,Lena,Hoffmann,Germany,1
Lucía,Fernández,Mexico,Miguel,Martínze,Mexico,0
Eléna,Marino,Italy,Eléna,Marino,Italy,1
María,García,Spain,María,García,Spain,1
Miguel,Gonçalves,Portugal,Miguel,Gonçalves,Portugal,1
Matteo,Greco,Italy,Matteo,Greco,Italy,1
Sara,Colombo,Italy,Sara,Colombo,Italy,1
Noémie,Durand,France,Nina,Mueller,Germany,0
Élodie,Richard,France,Élodi,Richard,France,1
María,Torres,Mexico,René,Richard,France,0
Élodie,Lefèvre,France,Noémie,Moreau,France,0
María,García,Spain,Pablo,Martínez,Spain,0
Ana,Lima,Brazil,Ana,Lima,Brazil,1
Jordi,Muñoz,Spain,Iñiog,Pérez,Spain,0
João,Fernandes,Brazil,Joo,Fernandes,Brazil,1
Carlos,Hernández,Mexico,Sven,Schaefer,Germany,0
Luis,Torres,Mexico,Óscar,López,Mexico,0
Giuseppe,Marino,Italy,Jesús,Ramírez,Mexico,0
Jesús,Torres,Mexico,Lucía,Fernández,Spain,0
Luísa,Santos,Brazil,Gustavo,Souaz,Brazil,0
Hans,Schneider,Switzerland,Noah,Fischer,Switzerland,0
Lucía,Álvarez,Spain,José,Gómez,Spain,0
Lukas,Grüter,Switzerland,Elena,Hugentobler,Switzerland,0
Hervé,Dubois,France,Hervé,Dubios,France,1
Camila,Santos,Brazil,Mlani,Keller,Switzerland,0
Sara,Ricci,Italy,Sara,Ricci,Italy,1
Carlos,Torres,Mexico,Carlos,Torres,Mexico,1
Inês,Silva,Portugal,Ins,Silva,Portugal,1
Jürgen,Krämer,Germany,Jürgen,Krämer,Germany,1
Luca,Marino,Italy,Luca,Marino,Italy,1
Nina,Müller,Germany,Nina,Müller,Germany,1
Elena,Hofmann,Switzerland,Elena,Hofmann,Switzerland,1
Miguel,Gonçalves,Portugal,Miguel,Gonçalves,Portugal,0
René,Laurent,France,René,Laurent,France,1
José,Pérez,Mexico,José,Pérez,Mexico,1
Sofia,Gonçalves,Portugal,Sofia,Gonalves,Portugal,1
Nina,Hoffmann,Germany,Nina,Hoffmann,Germany,1
Valeria,López,Mexico,Valeria,López,Mexico,1
Maxime,Grüter,Switzerland,Théo,Moreau,France,0
Miguel,Gonçalves,Portugal,Miguel,Gonçalves,Portugal,1
Tobias,Wagner,Germany,Tobias,Wagner,Germany,1
Pedro,Gonçalves,Brazil,Pedro,Gnoçalves,Brazil,1
Luca,Rossi,Italy,Jonas,Hoffmann,Germany,0
Rita,Gonçalves,Portugal,José,Martínez,Mexico,0
Jonas,Wagner,Germany,Jonas,Wagner,Germany,1
Noémie,Durand,France,Hugo,Durand,France,0
Pedro,Ferreira,Portugal,Pedro,Ferreria,Portugal,1
Inês,Carvalho,Portugal,Ins,Carvalho,Portugal,1
Lukas,Wagner,Germany,Jonas,Weiss,Germany,0
María,Muñoz,Spain,María,Muñoz,Spain,1
Álvaro,Pérez,Spain,Álvaro,Lóepz,Spain,0
Chloé,Bernard,France,Rneé,Moreau,France,0
Laura,García,Spain,Laura,Garca,Spain,1
René,Lefèvre,France,María,Álvarez,Spain,0
Lena,Müller,Germany,eLna,Mueller,Germany,1
Álvaro,Fernández,Spain,Álvaor,Pérze,Spain,0
Francesca,Romano,Italy,Maro,rGeco,Italy,0
José,Pérez,Mexico,Juerg,Meier,Switzerland,0
Noah,Hofmann,Switzerland,Noah,Hofmann,Switzerland,1
Léa,Lefèvre,France,Léa,Lefèvre,France,1
Lukas,Müller,Switzerland,Rita,Pereria,Portugal,0
Lea,Schäfer,Germany,Lea,Schäfer,Germany,1
Jürg,Hugentobler,Switzerland,Lus,Satnos,Portugal,0
José,López,Mexico,Guenter,rKaemer,Germany,0
Hervé,Dubois,France,Tho,Lefvre,France,0
Marta,Silva,Portugal,Marta,Silav,Portugal,1
Elena,Meier,Switzerland,Elena,Meier,Switzerland,1
Lucía,Fernández,Mexico,Lucía,Fernández,Mexico,1
Léa,Lefèvre,France,Léa,Lefèvre,France,1
Élodie,Moreau,France,Élodie,Richard,France,0
Luis,Fernández,Mexico,Jess,Flores,Mexico,0
Jesús,Pérez,Mexico,Jesús,Pérez,Mexico,1
Luísa,Oliveira,Brazil,Luísa,Oliveira,Brazil,1
Sergio,Gómez,Spain,Sergio,Díaz,Spain,0
Sergio,Käser,Switzerland,Sergio,cShneider,Switzerland,0
Carlos,Fernández,Mexico,Carlos,Fernndez,Mexico,1
Luca,Ferrari,Italy,Luca,Ferrari,Italy,1
Iñigo,Díaz,Spain,Lucía,Muñoz,Spain,0
Nina,Schneider,Germany,Nnia,Schäfer,Germany,0
Ana,Souza,Brazil,Ana,Souza,Brazil,1
Nina,Groß,Germany,Nina,Gross,Germany,1
Álvaro,López,Spain,vlaro,Lpez,Spain,1
Lucía,Pérez,Mexico,Luíca,Pérez,Mexico,1
Iñigo,Díaz,Spain,Iñigo,Díaz,Spain,1
Eléna,Greco,Italy,iMguel,Lpez,Mexico,0
Lea,Groß,Germany,Jonas,Schneider,Germany,0
Hannah,Schneider,Germany,Tobisa,Schmidt,Germany,0
Jordi,Álvarez,Spain,Ócsar,Fernández,Spain,0
José,Pérez,Spain,Álvaro,Muñoz,Spain,0
Carlos,Muñoz,Mexico,Luis,Fernández,Mexico,0
Ana,Fernández,Spain,Lusa,Oliveria,Brazil,0
Tiago,Silva,Portugal,Aan,Lopes,Portugal,0
Laura,Díaz,Spain,Juergen,Gross,Germany,0
Hugo,Bernard,France,Ins,Almeida,Portugal,0
María,Martínez,Mexico,María,Martínez,Mexico,1
Marta,Santos,Portugal,Marta,Santos,Portugal,1
Lea,Schäfer,Germany,Lea,Schäfer,Germany,1
Óscar,Muñoz,Mexico,Óscar,Muñoz,Mexico,1
Miguel,Gonçalves,Brazil,Rafaela,Gonçalves,Brazil,0
Camille,Laurent,France,Camill,Laurent,France,1
Lea,Weiß,Germany,Lea,Weiß,Germany,1
Óscar,Gómez,Spain,Óscar,Gómez,Spain,1
Elena,Weiss,Switzerland,Elena,Weiss,Switzerland,1
Léa,Müller,Switzerland,Matteo,Hugentobler,Switzerland,0
Emma,Lefèvre,France,Emma,Lefèvre,France,1
Sabine,Schneider,Germany,Sabine,Schneider,Germany,1
Inês,Gonçalves,Portugal,Ins,Almeida,Portugal,0
Jürg,Meier,Switzerland,Jürg,Meier,Switzerland,1
María,Muñoz,Mexico,Camila,Liam,Brazil,0
Sébastien,Lefèvre,France,Théo,Laurent,France,0
María,López,Spain,José,Álvarez,Spain,0
Jordi,Gómez,Spain,Laura,Álvarez,Spain,0
Pedro,Rocha,Brazil,Bruno,Oliveira,Brazil,0
María,Fernández,Mexico,Lucía,Martínez,Mexico,0
Lucía,Fernández,Mexico,Marta,Pereira,Portugal,0
Jürg,Müller,Switzerland,Jrg,Mller,Switzerland,1
Óscar,Ramírez,Mexico,scra,Ramrez,Mexico,1
René,Garcia,France,René,Garcia,France,1
Camille,Petit,France,Camille,Petit,France,1
João,Lopes,Portugal,Jesús,Flores,Mexico,0
Luis,Martínez,Mexico,Luis,Martínez,Mexico,1
Lea,Hoffmann,Germany,Pedro,Silva,Portugal,0
Camila,Carvalho,Brazil,Camila,Carvalho,Brazil,1
Marta,Fernandes,Portugal,Mart,Fernandes,Portugal,1
Sven,Schneider,Germany,Sven,Schneider,Germany,1
Maxime,Fischer,Switzerland,Ren,Frenndez,Mexico,0
João,Gonçalves,Portugal,Joo,Gonalves,Portugal,1
Lukas,Schneider,Switzerland,Lukas,Hugentobler,Switzerland,0
Jesús,Pérez,Mexico,Jesús,Pérez,Mexico,1
Valeria,Muñoz,Mexico,Andrs,Lpez,Mexico,0
Rafaela,Lima,Brazil,Rafaela,Lima,Brazil,1
Maxime,Hugentobler,Switzerland,Maxime,Huegntobler,Switzerland,1
Nina,Groß,Germany,Nina,Groß,Germany,1
María,Sánchez,Spain,Jordi,Muoz,Spain,0
Rita,Ferreira,Portugal,Rtia,Ferreira,Portugal,1
Miguel,Lopes,Portugal,Inês,Silva,Portugal,0
Rogério,Gonçalves,Brazil,Ana,Rocha,Brazil,0
Ana,Fernandes,Portugal,Ana,Fernandes,Portugal,1
Eléna,Rossi,Italy,Eléna,Rossi,Italy,1
Sergio,Keller,Switzerland,Sergio,Keller,Switzerland,1
Lucía,Muñoz,Mexico,aCrlo,Martínez,Mexico,0
Giorgia,Rossi,Italy,Mraco,uRsso,Italy,0
Lucía,García,Mexico,uLcía,García,Mexico,1
Jordi,Díaz,Spain,Mariaan,Santos,Brazil,0
Luís,Gonçalves,Portugal,Marta,Gonçalves,Portugal,0
Luis,López,Mexico,José,Flores,Mexico,0
Miguel,Lopes,Portugal,Miguel,Lpoes,Portugal,1
